what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1510294843107
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1510294843107
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1510294843107
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1510294843107
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1510294843107
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1510294843107
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1510294843107
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1510294843107
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1510294843107
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1510294843107
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1510294843107
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1510294843107
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1510294843107
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1510294843107
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1510294843107
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1510294843107
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1510294843107
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1510294843107
started,bundle,org.jboss.tools.common,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common",1510294843107
started,bundle,org.jboss.tools.common.model,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.model",1510294843107
started,bundle,org.jboss.tools.usage,1.0.1.v20110729-1916-H126-Final,"org.jboss.tools.usage",1510294843108
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1510294843108
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1510294843108
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1510294843108
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1510294843108
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1510294843108
os,sysinfo,,,"win32",1510294843111
arch,sysinfo,,,"x86_64",1510294843111
ws,sysinfo,,,"win32",1510294843111
locale,sysinfo,,,"zh_CN",1510294843111
processors,sysinfo,,,"8",1510294843111
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510294843111
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1510294843111
java.specification.name,sysinfo,,,"Java Platform API Specification",1510294843111
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510294843111
java.specification.version,sysinfo,,,"1.6",1510294843111
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510294843111
java.version,sysinfo,,,"1.6.0_45",1510294843111
